session_id,customer_id,session_start,session_end,device,landing_page,marketing_campaign_id,converted
79,,2024-07-04 00:14:43,2024-07-04 00:15:43,tablet,/category/apparel,15,False
80,,2025-07-16 02:40:28,2025-07-16 02:53:28,desktop,/home,11,False
81,139,2025-12-12 13:06:12,2025-12-12 13:48:12,desktop,/product-search,12,False
82,,2025-08-05 03:02:06,2025-08-05 03:43:06,tablet,/category/electronics,9,False
83,739,2025-05-12 23:11:12,2025-05-12 23:41:12,mobile,/home,,False
84,,2024-01-21 18:11:10,2024-01-21 18:25:10,mobile,/deals,,False
85,386,2025-03-01 08:19:59,2025-03-01 08:37:59,desktop,/deals,10,False
86,137,2025-08-01 06:06:16,2025-08-01 06:24:16,mobile,/product-search,,False
87,337,2025-08-12 12:06:47,2025-08-12 12:37:47,mobile,/home,10,False
88,,2025-12-19 09:52:33,2025-12-19 10:11:33,desktop,/category/apparel,,False
89,1052,2025-10-20 19:22:56,2025-10-20 20:03:56,mobile,/home,5,True
90,948,2025-06-02 13:04:34,2025-06-02 13:09:34,desktop,/category/electronics,,True
91,1305,2025-05-16 00:21:59,2025-05-16 00:55:59,tablet,/deals,,False
92,1138,2024-08-12 08:59:02,2024-08-12 09:27:02,tablet,/blog,,False
93,,2024-06-28 18:06:27,2024-06-28 18:09:27,desktop,/category/electronics,,False
94,,2024-04-15 07:26:44,2024-04-15 08:11:44,desktop,/category/electronics,4,False
95,,2024-02-26 10:08:09,2024-02-26 10:38:09,mobile,/category/apparel,,False
96,,2024-06-29 23:37:35,2024-06-29 23:53:35,tablet,/category/apparel,6,False
97,95,2025-09-28 00:16:48,2025-09-28 00:56:48,mobile,/deals,,True
98,,2025-02-15 07:58:51,2025-02-15 08:15:51,tablet,/blog,2,False
99,352,2025-03-05 02:16:26,2025-03-05 02:53:26,tablet,/category/electronics,,False
100,1257,2025-10-09 16:58:55,2025-10-09 17:02:55,tablet,/deals,,False
101,22,2025-01-15 12:12:17,2025-01-15 12:54:17,tablet,/category/electronics,,False
102,1445,2025-09-13 07:48:33,2025-09-13 08:03:33,tablet,/category/electronics,14,False
103,351,2025-08-17 18:42:32,2025-08-17 18:44:32,tablet,/category/electronics,9,False
104,127,2025-12-16 12:41:55,2025-12-16 13:01:55,desktop,/category/apparel,12,False
105,795,2024-12-04 11:04:44,2024-12-04 11:44:44,mobile,/deals,8,False
106,,2025-01-04 18:06:44,2025-01-04 18:30:44,tablet,/category/apparel,,False
107,567,2025-02-20 12:55:05,2025-02-20 13:13:05,tablet,/home,,False
108,,2024-06-23 08:47:00,2024-06-23 08:48:00,desktop,/category/apparel,13,False
109,448,2025-12-02 08:25:23,2025-12-02 09:07:23,tablet,/product-search,,False
110,492,2025-09-20 05:14:02,2025-09-20 05:30:02,tablet,/blog,8,False
111,,2025-02-06 23:47:37,2025-02-06 23:52:37,desktop,/deals,,False
112,734,2025-12-21 09:30:28,2025-12-21 09:34:28,tablet,/deals,,False
113,,2025-11-14 09:08:53,2025-11-14 09:26:53,desktop,/home,,False
114,1147,2025-11-07 18:28:56,2025-11-07 19:07:56,desktop,/category/electronics,,False
115,,2025-08-08 14:57:21,2025-08-08 15:23:21,mobile,/blog,14,False
116,,2024-12-16 10:39:00,2024-12-16 11:01:00,desktop,/blog,,False
117,39,2024-09-12 15:39:16,2024-09-12 16:22:16,mobile,/blog,,False
118,,2024-10-01 23:16:48,2024-10-01 23:22:48,desktop,/category/electronics,13,False
119,1244,2025-11-08 20:54:50,2025-11-08 21:27:50,desktop,/home,11,False
120,535,2025-07-20 19:58:55,2025-07-20 20:41:55,tablet,/category/electronics,,False
121,947,2024-03-25 00:14:46,2024-03-25 00:52:46,desktop,/deals,,False
122,22,2024-12-13 16:55:50,2024-12-13 17:14:50,tablet,/category/apparel,6,False
123,664,2025-05-29 02:54:00,2025-05-29 03:10:00,mobile,/product-search,,False
124,1088,2025-12-21 04:51:30,2025-12-21 05:05:30,tablet,/deals,,False
125,,2024-02-22 03:02:22,2024-02-22 03:43:22,tablet,/category/apparel,,False
126,,2024-12-24 17:06:31,2024-12-24 17:33:31,mobile,/product-search,9,False
127,644,2024-08-02 19:16:34,2024-08-02 19:55:34,desktop,/home,,False
128,103,2025-11-17 01:57:32,2025-11-17 02:02:32,desktop,/blog,7,True
129,1216,2025-01-06 23:38:35,2025-01-06 23:58:35,desktop,/blog,,True
130,1333,2025-12-20 08:15:26,2025-12-20 08:26:26,desktop,/category/electronics,6,False
131,,2024-11-28 01:56:47,2024-11-28 02:41:47,desktop,/category/apparel,,False
132,,2025-07-15 13:52:10,2025-07-15 14:12:10,desktop,/home,,False
133,988,2025-08-01 20:10:35,2025-08-01 20:38:35,desktop,/category/apparel,14,False
134,885,2025-01-30 03:47:53,2025-01-30 04:01:53,mobile,/deals,,False
135,957,2025-06-26 07:09:41,2025-06-26 07:49:41,tablet,/deals,,False
136,1459,2025-03-02 17:24:23,2025-03-02 17:39:23,desktop,/product-search,12,False
137,,2025-05-08 22:21:39,2025-05-08 22:48:39,mobile,/product-search,13,False
138,,2024-06-02 02:59:25,2024-06-02 03:14:25,mobile,/home,,False
139,,2024-07-07 07:30:42,2024-07-07 08:07:42,tablet,/category/apparel,2,False
140,,2025-12-31 10:33:48,2025-12-31 10:56:48,mobile,/home,,False
141,515,2025-01-13 14:43:10,2025-01-13 15:15:10,tablet,/product-search,3,False
142,615,2025-07-22 07:09:52,2025-07-22 07:23:52,mobile,/category/electronics,2,False
143,,2025-12-27 10:20:44,2025-12-27 10:41:44,tablet,/blog,,False
144,,2025-01-19 19:44:08,2025-01-19 19:46:08,desktop,/blog,,False
145,,2025-08-26 21:38:31,2025-08-26 21:46:31,tablet,/category/apparel,3,False
146,214,2025-08-06 09:29:56,2025-08-06 10:04:56,mobile,/deals,7,False
147,,2025-12-24 14:14:12,2025-12-24 14:41:12,mobile,/blog,,False
148,,2024-08-06 23:50:30,2024-08-07 00:34:30,tablet,/product-search,,False
149,300,2025-02-15 03:56:56,2025-02-15 04:25:56,tablet,/category/electronics,,False
150,846,2024-06-12 14:59:04,2024-06-12 15:35:04,tablet,/blog,,False
151,357,2025-11-29 17:45:06,2025-11-29 18:18:06,desktop,/deals,,True
152,,2025-08-15 21:22:25,2025-08-15 21:42:25,tablet,/home,,False
153,454,2025-09-29 23:46:56,2025-09-30 00:25:56,tablet,/category/apparel,,True
154,,2025-02-18 18:01:53,2025-02-18 18:39:53,tablet,/home,1,False
155,,2025-04-24 16:33:10,2025-04-24 16:55:10,mobile,/category/electronics,5,False
156,1273,2025-09-27 06:15:08,2025-09-27 07:00:08,mobile,/deals,10,False
157,1284,2025-12-10 14:19:52,2025-12-10 14:31:52,desktop,/deals,10,False
158,,2024-12-21 01:48:55,2024-12-21 02:25:55,desktop,/category/apparel,,False
159,,2024-03-05 13:28:14,2024-03-05 13:29:14,desktop,/category/apparel,,False
160,867,2025-05-17 05:58:02,2025-05-17 06:04:02,mobile,/blog,7,True
161,,2024-05-30 02:02:51,2024-05-30 02:20:51,tablet,/home,,False
162,,2025-05-31 14:27:20,2025-05-31 14:58:20,desktop,/product-search,,False
163,697,2024-12-26 11:47:57,2024-12-26 12:17:57,mobile,/product-search,,False
164,,2025-08-29 10:32:55,2025-08-29 11:05:55,mobile,/deals,6,False
165,252,2025-11-24 00:11:23,2025-11-24 00:48:23,tablet,/category/electronics,,False
166,879,2024-05-18 03:19:01,2024-05-18 04:04:01,desktop,/product-search,,True
167,452,2025-04-10 09:32:35,2025-04-10 10:11:35,mobile,/category/apparel,,False
168,,2024-11-12 01:44:49,2024-11-12 02:02:49,mobile,/product-search,3,False
169,,2025-10-07 19:29:11,2025-10-07 19:35:11,tablet,/home,,False
170,,2025-07-19 09:51:24,2025-07-19 10:14:24,desktop,/blog,,False
171,,2024-10-17 18:45:47,2024-10-17 18:51:47,desktop,/category/electronics,12,False
172,,2024-05-02 04:46:50,2024-05-02 04:48:50,desktop,/deals,8,False
173,587,2025-10-05 22:40:52,2025-10-05 23:18:52,mobile,/category/electronics,9,False
174,,2024-12-23 21:52:19,2024-12-23 22:21:19,mobile,/category/electronics,,False
175,773,2025-12-08 04:00:32,2025-12-08 04:08:32,tablet,/category/apparel,,False
176,1019,2025-04-14 08:41:19,2025-04-14 09:22:19,desktop,/blog,7,True
177,606,2025-10-23 03:34:33,2025-10-23 04:01:33,tablet,/deals,,False
178,551,2025-12-27 09:38:53,2025-12-27 09:39:53,desktop,/home,,True
179,,2024-08-01 19:59:49,2024-08-01 20:02:49,desktop,/home,,False
180,1495,2024-07-03 20:59:04,2024-07-03 21:35:04,mobile,/home,,True
181,1438,2025-05-15 08:28:57,2025-05-15 08:37:57,tablet,/category/electronics,,False
182,,2024-05-01 20:41:42,2024-05-01 20:57:42,mobile,/deals,,False
183,954,2025-12-11 01:07:28,2025-12-11 01:50:28,mobile,/blog,,False
184,,2025-04-14 20:41:03,2025-04-14 21:13:03,desktop,/category/electronics,,False
185,725,2025-06-21 11:24:14,2025-06-21 11:29:14,mobile,/home,,False
186,22,2024-10-02 04:16:35,2024-10-02 04:43:35,desktop,/blog,3,False
187,366,2025-12-21 00:58:28,2025-12-21 01:18:28,desktop,/category/apparel,,False
188,1196,2025-08-11 14:05:55,2025-08-11 14:30:55,mobile,/blog,12,False
189,,2025-03-11 20:35:41,2025-03-11 21:06:41,tablet,/category/electronics,,False
190,77,2025-10-06 20:39:36,2025-10-06 21:08:36,desktop,/blog,6,True
191,1021,2025-12-18 06:10:23,2025-12-18 06:21:23,mobile,/blog,,False
192,1468,2025-02-05 08:36:16,2025-02-05 09:13:16,desktop,/blog,,False
193,1194,2025-08-16 16:16:37,2025-08-16 16:24:37,tablet,/category/electronics,,False
194,325,2025-01-09 17:00:21,2025-01-09 17:15:21,mobile,/deals,,False
195,794,2025-12-17 21:15:25,2025-12-17 21:30:25,mobile,/deals,,False
196,736,2025-07-18 08:37:31,2025-07-18 08:55:31,mobile,/blog,6,False
197,760,2025-12-27 16:30:22,2025-12-27 16:35:22,desktop,/category/apparel,1,False
198,860,2025-09-04 12:59:53,2025-09-04 13:03:53,desktop,/product-search,2,True
199,15,2025-08-24 03:05:28,2025-08-24 03:26:28,mobile,/category/apparel,15,False
200,,2025-08-21 08:20:05,2025-08-21 09:05:05,tablet,/category/electronics,1,False
201,289,2025-12-29 05:57:38,2025-12-29 06:18:38,tablet,/category/electronics,,False
202,1065,2025-12-25 09:31:52,2025-12-25 10:02:52,mobile,/category/electronics,,False
203,1245,2025-05-22 12:14:19,2025-05-22 12:35:19,tablet,/category/apparel,,False
204,885,2025-02-25 21:45:05,2025-02-25 22:30:05,mobile,/category/apparel,,False
205,827,2025-01-29 05:01:41,2025-01-29 05:16:41,desktop,/deals,,True
206,,2024-02-14 01:57:13,2024-02-14 02:04:13,mobile,/product-search,4,False
207,635,2025-08-14 19:59:24,2025-08-14 20:04:24,mobile,/category/apparel,,False
208,,2024-05-20 07:20:19,2024-05-20 08:01:19,mobile,/category/apparel,,False
209,,2025-02-16 22:12:08,2025-02-16 22:44:08,mobile,/product-search,,False
210,16,2025-05-13 03:03:59,2025-05-13 03:16:59,mobile,/category/apparel,,False
211,1192,2025-06-15 12:51:33,2025-06-15 12:53:33,desktop,/category/apparel,,True
212,1026,2025-10-30 01:14:26,2025-10-30 01:21:26,mobile,/category/apparel,,True
213,725,2025-07-08 00:50:39,2025-07-08 01:06:39,tablet,/category/apparel,,False
214,335,2025-11-04 10:34:49,2025-11-04 10:41:49,tablet,/blog,11,False
215,999,2025-07-06 20:19:30,2025-07-06 21:00:30,desktop,/category/apparel,10,True
216,1031,2025-05-19 18:26:43,2025-05-19 18:28:43,tablet,/product-search,,False
217,178,2025-03-25 22:05:03,2025-03-25 22:25:03,desktop,/category/electronics,8,True
218,992,2025-08-03 19:52:12,2025-08-03 20:09:12,tablet,/category/electronics,,True
219,966,2025-11-23 01:27:17,2025-11-23 01:55:17,tablet,/deals,14,False
220,,2024-08-06 03:01:59,2024-08-06 03:44:59,desktop,/category/electronics,,False
221,1379,2024-08-16 11:52:08,2024-08-16 12:23:08,desktop,/product-search,,False
222,244,2025-09-09 10:33:24,2025-09-09 10:39:24,tablet,/category/apparel,7,False
223,,2024-05-12 21:59:52,2024-05-12 22:40:52,desktop,/category/electronics,,False
224,,2025-10-08 06:07:08,2025-10-08 06:44:08,desktop,/product-search,,False
225,,2024-09-17 13:27:34,2024-09-17 13:35:34,mobile,/deals,,False
226,624,2025-06-30 12:36:57,2025-06-30 12:57:57,tablet,/product-search,8,True
227,,2024-02-28 11:19:56,2024-02-28 11:30:56,mobile,/blog,3,False
228,,2024-05-14 08:05:41,2024-05-14 08:49:41,tablet,/blog,,False
229,271,2024-10-21 16:26:19,2024-10-21 16:41:19,tablet,/home,14,False
230,,2025-07-17 07:12:02,2025-07-17 07:46:02,tablet,/product-search,,False
231,592,2025-12-27 02:49:51,2025-12-27 03:33:51,desktop,/home,,False
232,493,2025-01-31 02:08:10,2025-01-31 02:34:10,mobile,/deals,,True
233,180,2025-09-28 06:24:15,2025-09-28 06:25:15,tablet,/deals,,False
234,197,2024-08-17 11:56:26,2024-08-17 12:08:26,desktop,/product-search,3,False
235,,2025-02-15 06:55:57,2025-02-15 07:39:57,desktop,/product-search,,False
236,,2025-01-09 12:46:38,2025-01-09 13:18:38,mobile,/product-search,3,False
237,958,2025-03-02 12:02:32,2025-03-02 12:18:32,tablet,/home,10,False
238,1481,2025-06-25 17:40:04,2025-06-25 17:56:04,desktop,/category/apparel,,False
239,299,2025-01-25 18:22:27,2025-01-25 18:42:27,mobile,/home,14,False
240,,2024-01-21 07:53:48,2024-01-21 08:35:48,mobile,/deals,,False
241,148,2024-06-12 14:53:29,2024-06-12 14:57:29,desktop,/blog,,False
242,,2025-04-30 20:14:14,2025-04-30 20:21:14,tablet,/category/electronics,14,False
243,,2025-06-01 02:21:20,2025-06-01 03:05:20,mobile,/category/apparel,13,False
244,,2024-11-18 14:31:34,2024-11-18 14:56:34,mobile,/category/apparel,,False
245,,2025-02-26 07:59:05,2025-02-26 08:30:05,desktop,/category/electronics,,False
246,420,2025-05-04 22:54:29,2025-05-04 23:37:29,mobile,/deals,1,True
247,913,2025-12-10 12:37:05,2025-12-10 13:08:05,tablet,/blog,7,False
248,,2024-10-18 16:59:08,2024-10-18 17:22:08,mobile,/category/electronics,13,False
249,298,2025-10-19 03:51:30,2025-10-19 04:20:30,mobile,/deals,,False
250,567,2025-09-20 02:04:29,2025-09-20 02:33:29,mobile,/product-search,2,False
251,,2025-09-29 21:41:14,2025-09-29 22:03:14,mobile,/category/apparel,11,False
252,731,2025-10-20 00:59:04,2025-10-20 01:06:04,tablet,/blog,3,False
253,1014,2025-09-09 18:10:47,2025-09-09 18:25:47,mobile,/category/apparel,6,False
254,330,2025-11-16 11:50:47,2025-11-16 12:16:47,desktop,/deals,,False
255,,2024-12-01 10:50:15,2024-12-01 11:01:15,desktop,/product-search,1,False
256,,2025-01-12 23:57:30,2025-01-13 00:36:30,tablet,/product-search,9,False
257,258,2025-12-27 16:18:40,2025-12-27 16:34:40,mobile,/product-search,6,True
258,1015,2025-12-11 06:42:08,2025-12-11 07:06:08,mobile,/category/electronics,14,True
259,1170,2025-12-19 07:04:47,2025-12-19 07:43:47,desktop,/blog,,False
260,1328,2025-12-15 00:57:05,2025-12-15 01:41:05,tablet,/category/apparel,,False
261,427,2024-06-05 00:50:17,2024-06-05 01:10:17,tablet,/category/electronics,1,False
262,,2024-12-02 08:03:07,2024-12-02 08:15:07,desktop,/blog,,False
263,805,2024-08-30 18:39:24,2024-08-30 19:00:24,desktop,/category/apparel,,True
264,902,2025-08-01 11:04:25,2025-08-01 11:21:25,tablet,/category/electronics,,False
265,,2025-04-22 16:36:30,2025-04-22 16:49:30,desktop,/home,,False
266,508,2025-12-11 11:58:48,2025-12-11 12:30:48,mobile,/product-search,,True
267,358,2025-07-21 04:26:17,2025-07-21 04:40:17,desktop,/blog,,False
268,982,2025-12-06 06:57:21,2025-12-06 07:17:21,mobile,/deals,,False
269,,2024-05-12 06:35:59,2024-05-12 06:56:59,tablet,/product-search,4,False
270,,2024-08-07 02:10:50,2024-08-07 02:28:50,mobile,/category/apparel,,False
271,,2024-11-11 21:32:53,2024-11-11 21:48:53,mobile,/deals,12,False
272,893,2025-09-19 21:58:23,2025-09-19 22:36:23,tablet,/blog,,True
273,,2025-10-28 21:37:51,2025-10-28 21:59:51,tablet,/home,8,False
274,742,2025-11-26 06:37:07,2025-11-26 06:52:07,desktop,/deals,11,False
275,1215,2025-09-10 06:40:59,2025-09-10 07:13:59,desktop,/category/electronics,8,False
276,618,2025-10-19 04:49:46,2025-10-19 05:34:46,desktop,/category/apparel,,False
277,,2025-09-17 06:01:46,2025-09-17 06:45:46,desktop,/deals,14,False
278,,2024-11-23 14:04:59,2024-11-23 14:10:59,tablet,/blog,7,False
279,209,2024-07-12 16:14:08,2024-07-12 16:58:08,desktop,/home,,False
280,100,2025-07-04 18:50:40,2025-07-04 18:56:40,desktop,/product-search,15,False
281,156,2024-07-11 09:46:10,2024-07-11 10:05:10,mobile,/home,,False
282,,2025-04-24 22:22:52,2025-04-24 22:28:52,desktop,/blog,4,False
283,850,2025-12-26 00:04:08,2025-12-26 00:29:08,tablet,/deals,13,False
284,881,2025-11-03 12:11:32,2025-11-03 12:44:32,mobile,/product-search,,False
285,179,2025-12-14 08:17:07,2025-12-14 08:51:07,tablet,/deals,,False
286,,2024-07-03 17:36:45,2024-07-03 17:38:45,mobile,/home,,False
287,1186,2025-05-18 06:22:46,2025-05-18 07:00:46,mobile,/home,9,False
288,,2024-01-14 00:37:04,2024-01-14 01:04:04,tablet,/home,9,False
289,1000,2025-09-01 23:49:11,2025-09-02 00:09:11,desktop,/home,12,True
290,701,2024-10-28 06:22:25,2024-10-28 06:35:25,mobile,/blog,2,False
291,,2024-09-14 20:51:51,2024-09-14 20:56:51,desktop,/deals,7,False
292,,2025-02-01 02:51:24,2025-02-01 03:24:24,tablet,/category/apparel,,False
293,109,2025-12-17 14:01:50,2025-12-17 14:43:50,desktop,/blog,4,False
294,412,2025-10-21 15:13:14,2025-10-21 15:52:14,tablet,/blog,,False
295,1127,2025-08-02 08:52:55,2025-08-02 09:16:55,tablet,/category/electronics,,True
296,1482,2025-06-23 15:44:28,2025-06-23 16:05:28,desktop,/category/apparel,,False
297,890,2025-12-07 18:18:32,2025-12-07 18:57:32,desktop,/deals,,False
298,,2024-10-19 14:36:30,2024-10-19 14:41:30,mobile,/category/electronics,,False
299,1375,2025-12-26 08:41:29,2025-12-26 09:26:29,tablet,/product-search,,False
300,,2025-11-12 23:30:04,2025-11-12 23:59:04,mobile,/blog,,False
301,,2025-10-29 13:09:22,2025-10-29 13:47:22,tablet,/home,8,False
302,1184,2025-06-03 09:36:31,2025-06-03 10:16:31,desktop,/product-search,1,False
303,58,2025-05-08 06:08:14,2025-05-08 06:44:14,desktop,/product-search,10,False
304,1227,2025-05-08 08:55:06,2025-05-08 09:20:06,tablet,/home,,False
305,,2025-04-14 21:56:35,2025-04-14 22:35:35,tablet,/blog,12,False
306,1247,2024-03-19 10:04:05,2024-03-19 10:31:05,mobile,/product-search,,True
307,1018,2025-12-22 08:46:16,2025-12-22 08:51:16,desktop,/category/apparel,,False
308,,2024-12-02 10:23:19,2024-12-02 11:05:19,mobile,/blog,1,False
309,,2024-07-12 02:01:23,2024-07-12 02:10:23,mobile,/deals,13,False
310,,2025-06-04 00:19:07,2025-06-04 00:43:07,mobile,/category/electronics,,False
311,268,2024-10-27 02:45:27,2024-10-27 02:51:27,mobile,/product-search,,True
312,150,2025-02-26 16:36:31,2025-02-26 17:12:31,desktop,/category/apparel,,False
313,,2024-09-10 06:21:33,2024-09-10 06:54:33,mobile,/deals,3,True
314,1029,2025-11-09 03:34:00,2025-11-09 04:03:00,mobile,/home,,False
315,229,2024-12-14 06:03:08,2024-12-14 06:40:08,tablet,/blog,11,False
316,677,2025-11-11 05:44:33,2025-11-11 05:58:33,mobile,/category/electronics,3,False
317,,2024-09-09 22:59:56,2024-09-09 23:32:56,tablet,/blog,,False
318,439,2025-11-13 07:07:24,2025-11-13 07:32:24,tablet,/deals,3,False
319,910,2025-08-16 20:15:04,2025-08-16 20:17:04,mobile,/blog,,False
320,,2025-04-24 04:08:17,2025-04-24 04:31:17,tablet,/deals,,False
321,,2024-08-17 12:31:33,2024-08-17 12:50:33,tablet,/category/electronics,15,True
322,238,2025-11-25 20:03:58,2025-11-25 20:05:58,mobile,/category/apparel,,True
323,,2024-11-21 14:59:37,2024-11-21 15:17:37,tablet,/product-search,,False
324,,2024-07-11 16:48:55,2024-07-11 17:26:55,mobile,/product-search,4,False
325,231,2025-01-13 21:58:01,2025-01-13 22:01:01,tablet,/category/electronics,,False
326,378,2025-09-14 21:45:03,2025-09-14 22:30:03,mobile,/category/electronics,,False
327,,2024-05-09 05:50:43,2024-05-09 05:56:43,tablet,/home,8,False
328,,2025-06-06 10:37:36,2025-06-06 11:19:36,mobile,/product-search,,False
329,1118,2025-03-07 08:45:24,2025-03-07 09:16:24,tablet,/blog,,False
